epoch, batch, loss, loss_f, loss_e, f_mae, f_rmse, Si_f_mae, psavg_f_mae, Si_f_rmse, psavg_f_rmse, e_mae, e/N_mae
   44,     1,       0.00041347,       0.00041087,        2.599e-06,         0.014451,         0.018371,         0.014451,         0.014451,         0.018371,         0.018371,         0.092439,        0.0014444
   44,     2,       0.00043424,       0.00042333,       1.0903e-05,          0.01444,         0.018647,          0.01444,          0.01444,         0.018647,         0.018647,          0.19144,        0.0029913
   44,     3,       0.00056036,       0.00055313,       7.2275e-06,         0.016358,         0.021315,         0.016358,         0.016358,         0.021315,         0.021315,          0.15551,        0.0024299
   44,     4,       0.00038306,       0.00038227,       7.8872e-07,         0.012433,          0.01772,         0.012433,         0.012433,          0.01772,          0.01772,         0.050449,       0.00078826
   44,     5,       0.00068102,       0.00068036,       6.6013e-07,         0.018287,          0.02364,         0.018287,         0.018287,          0.02364,          0.02364,         0.041467,       0.00064792
   44,     6,       0.00068946,       0.00068782,       1.6367e-06,         0.017794,         0.023769,         0.017794,         0.017794,         0.023769,         0.023769,         0.074104,        0.0011579
   44,     7,       0.00051158,       0.00050975,       1.8303e-06,         0.015659,         0.020462,         0.015659,         0.015659,         0.020462,         0.020462,         0.078184,        0.0012216
   44,     8,       0.00044794,       0.00044681,        1.133e-06,         0.015162,         0.019157,         0.015162,         0.015162,         0.019157,         0.019157,           0.0611,       0.00095469
   44,     9,       0.00053614,       0.00053606,       7.9316e-08,         0.016246,         0.020983,         0.016246,         0.016246,         0.020983,         0.020983,         0.011138,       0.00017403
   44,    10,       0.00098463,       0.00098446,       1.6282e-07,         0.020738,         0.028436,         0.020738,         0.020738,         0.028436,         0.028436,         0.021165,        0.0003307
   44,    11,       0.00057818,       0.00057593,       2.2504e-06,         0.016948,          0.02175,         0.016948,         0.016948,          0.02175,          0.02175,         0.085573,        0.0013371
   44,    12,       0.00052748,       0.00052581,         1.67e-06,         0.016175,         0.020782,         0.016175,         0.016175,         0.020782,         0.020782,         0.073382,        0.0011466
   44,    13,       0.00045144,        0.0004514,       4.4498e-08,         0.015066,         0.019255,         0.015066,         0.015066,         0.019255,         0.019255,         0.010867,        0.0001698
   44,    14,       0.00057819,       0.00057696,       1.2332e-06,         0.016371,         0.021769,         0.016371,         0.016371,         0.021769,         0.021769,         0.060478,       0.00094496
   44,    15,       0.00045672,       0.00045605,       6.6583e-07,         0.015266,         0.019354,         0.015266,         0.015266,         0.019354,         0.019354,         0.040528,       0.00063326
   44,    16,       0.00046665,       0.00046661,       4.2039e-08,          0.01531,         0.019577,          0.01531,          0.01531,         0.019577,         0.019577,         0.010266,       0.00016041
   45,     1,       0.00058176,       0.00058152,       2.3897e-07,         0.017373,         0.021855,         0.017373,         0.017373,         0.021855,         0.021855,         0.021407,       0.00033448
   45,     2,       0.00078967,       0.00078943,       2.4151e-07,         0.018962,         0.025464,         0.018962,         0.018962,         0.025464,         0.025464,         0.019183,       0.00029974
   45,     3,       0.00043175,       0.00043171,       3.9743e-08,         0.014512,         0.018831,         0.014512,         0.014512,         0.018831,         0.018831,         0.011041,       0.00017252
   45,     4,       0.00047786,       0.00047759,       2.6662e-07,         0.014988,         0.019806,         0.014988,         0.014988,         0.019806,         0.019806,         0.025012,       0.00039081
   45,     5,       0.00051717,       0.00051646,       7.1175e-07,         0.015913,         0.020596,         0.015913,         0.015913,         0.020596,         0.020596,         0.047821,        0.0007472
   45,     6,       0.00060636,       0.00060627,       8.4427e-08,          0.01689,         0.022315,          0.01689,          0.01689,         0.022315,         0.022315,         0.015439,       0.00024124
   45,     7,       0.00046706,       0.00046587,       1.1888e-06,          0.01504,         0.019562,          0.01504,          0.01504,         0.019562,         0.019562,         0.061533,       0.00096146
   45,     8,       0.00086834,       0.00086727,       1.0716e-06,         0.019593,          0.02669,         0.019593,         0.019593,          0.02669,          0.02669,          0.05979,       0.00093423
