epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_f_mae,training_f_rmse,training_Si_f_mae,training_psavg_f_mae,training_Si_f_rmse,training_psavg_f_rmse,training_e_mae,training_e/N_mae,validation_loss_f,validation_loss_e,validation_loss,validation_f_mae,validation_f_rmse,validation_Si_f_mae,validation_psavg_f_mae,validation_Si_f_rmse,validation_psavg_f_rmse,validation_e_mae,validation_e/N_mae
        35,  166.530,    0.005,       0.00069763,       6.2457e-06,       0.00070387,       0.0183,       0.0239,       0.0183,       0.0183,       0.0239,       0.0239,        0.131,      0.00205,       0.00063088,       9.9945e-08,       0.00063098,       0.0177,       0.0228,       0.0177,       0.0177,       0.0228,       0.0228,       0.0159,     0.000248
        36,  171.156,    0.005,       0.00068876,       2.9147e-06,       0.00069168,       0.0182,       0.0238,       0.0182,       0.0182,       0.0238,       0.0238,       0.0799,      0.00125,       0.00061004,       9.8126e-08,       0.00061013,       0.0174,       0.0224,       0.0174,       0.0174,       0.0224,       0.0224,        0.016,     0.000249
        37,  175.753,    0.005,       0.00065907,       6.0401e-06,       0.00066511,       0.0177,       0.0233,       0.0177,       0.0177,       0.0233,       0.0233,        0.123,      0.00193,       0.00058937,       8.9361e-08,       0.00058945,       0.0171,        0.022,       0.0171,       0.0171,        0.022,        0.022,       0.0151,     0.000237
        38,  180.379,    0.005,       0.00066321,       4.6149e-06,       0.00066783,       0.0178,       0.0233,       0.0178,       0.0178,       0.0233,       0.0233,        0.107,      0.00168,       0.00057073,       1.0036e-07,       0.00057083,       0.0169,       0.0217,       0.0169,       0.0169,       0.0217,       0.0217,       0.0154,     0.000241
        39,  184.978,    0.005,       0.00067342,       1.6916e-05,       0.00069034,       0.0179,       0.0235,       0.0179,       0.0179,       0.0235,       0.0235,        0.217,      0.00339,       0.00055291,       8.4784e-08,         0.000553,       0.0166,       0.0213,       0.0166,       0.0166,       0.0213,       0.0213,       0.0149,     0.000232
        40,  189.594,    0.005,       0.00064319,       6.2581e-06,       0.00064945,       0.0175,        0.023,       0.0175,       0.0175,        0.023,        0.023,        0.102,       0.0016,       0.00053725,       9.1045e-08,       0.00053734,       0.0164,        0.021,       0.0164,       0.0164,        0.021,        0.021,       0.0149,     0.000233
        41,  194.212,    0.005,       0.00058521,       4.6383e-06,       0.00058985,       0.0167,       0.0219,       0.0167,       0.0167,       0.0219,       0.0219,        0.102,      0.00159,       0.00052234,       7.5344e-08,       0.00052242,       0.0161,       0.0207,       0.0161,       0.0161,       0.0207,       0.0207,       0.0141,     0.000221
        42,  198.824,    0.005,       0.00055288,       1.8025e-06,       0.00055468,       0.0162,       0.0213,       0.0162,       0.0162,       0.0213,       0.0213,       0.0653,      0.00102,        0.0005069,       7.0246e-08,       0.00050697,       0.0159,       0.0204,       0.0159,       0.0159,       0.0204,       0.0204,       0.0135,     0.000212
        43,  203.434,    0.005,       0.00058472,       1.3611e-05,       0.00059833,       0.0167,       0.0219,       0.0167,       0.0167,       0.0219,       0.0219,        0.194,      0.00303,       0.00049339,       7.3107e-08,       0.00049346,       0.0157,       0.0201,       0.0157,       0.0157,       0.0201,       0.0201,       0.0136,     0.000212
        44,  208.045,    0.005,       0.00054173,       2.0579e-06,       0.00054378,        0.016,       0.0211,        0.016,        0.016,       0.0211,       0.0211,       0.0661,      0.00103,       0.00048073,         6.63e-08,        0.0004808,       0.0155,       0.0199,       0.0155,       0.0155,       0.0199,       0.0199,       0.0132,     0.000206
        45,  212.659,    0.005,       0.00052178,       7.1909e-07,        0.0005225,       0.0157,       0.0207,       0.0157,       0.0157,       0.0207,       0.0207,       0.0397,      0.00062,        0.0004684,       6.3639e-08,       0.00046846,       0.0153,       0.0196,       0.0153,       0.0153,       0.0196,       0.0196,       0.0129,     0.000202
        46,  217.275,    0.005,       0.00050248,       5.3616e-07,       0.00050301,       0.0154,       0.0203,       0.0154,       0.0154,       0.0203,       0.0203,       0.0346,      0.00054,       0.00045703,       6.0505e-08,       0.00045709,       0.0151,       0.0194,       0.0151,       0.0151,       0.0194,       0.0194,       0.0125,     0.000196
        47,  221.901,    0.005,       0.00048971,       3.2074e-07,       0.00049003,       0.0152,       0.0201,       0.0152,       0.0152,       0.0201,       0.0201,       0.0268,     0.000419,       0.00044615,       5.8705e-08,       0.00044621,       0.0149,       0.0191,       0.0149,       0.0149,       0.0191,       0.0191,       0.0123,     0.000193
        48,  226.528,    0.005,        0.0004911,       8.6682e-07,       0.00049196,       0.0152,       0.0201,       0.0152,       0.0152,       0.0201,       0.0201,       0.0473,     0.000739,       0.00043587,       5.5974e-08,       0.00043593,       0.0147,       0.0189,       0.0147,       0.0147,       0.0189,       0.0189,       0.0118,     0.000185
        49,  231.163,    0.005,       0.00047745,       6.1611e-07,       0.00047806,       0.0151,       0.0198,       0.0151,       0.0151,       0.0198,       0.0198,       0.0376,     0.000588,       0.00042746,       5.4272e-08,       0.00042752,       0.0145,       0.0187,       0.0145,       0.0145,       0.0187,       0.0187,       0.0117,     0.000184
        50,  235.770,    0.005,       0.00047776,       2.5931e-06,       0.00048035,       0.0151,       0.0198,       0.0151,       0.0151,       0.0198,       0.0198,       0.0826,      0.00129,       0.00041841,       5.2278e-08,       0.00041847,       0.0144,       0.0185,       0.0144,       0.0144,       0.0185,       0.0185,       0.0114,     0.000178
